MapVersion,SectionId,FromAddressId,ToAddressId,SectionPosition,AllowVehiclePosition,AllowCargoPosition,VehicleSpeedUnload,VehicleSpeedLoaded,VehicleSpeedEnforce
2025121101,10043,102901000,102900900,180,0/180,0/180,1200,1000,0
2025121101,10042,102901000,102901100,0,0/180,0/180,1200,1000,0
2025121101,10038,102901100,102701100,270,90/270,0/180,1200,1000,0
2025121101,10040,102901100,102901000,180,0/180,0/180,1200,1000,0
2025121101,10039,102901100,102901200,0,0/180,0/180,1200,1000,0
2025121101,10035,102901200,102701200,270,90/270,0/180,1200,1000,0
2025121101,10037,102901200,102901100,180,0/180,0/180,1200,1000,0
2025121101,10036,102901200,102901300,0,0/180,0/180,1200,1000,0
2025121101,10032,102901300,102701300,270,90/270,0/180,1200,1000,0
2025121101,10033,102901300,102901200,180,0/180,0/180,1200,1000,0
2025121101,10034,102901300,102901400,0,0/180,0/180,1200,1000,0
2025121101,10643,102901400,102901300,180,0/180,0/180,1200,1000,0
2025121101,10642,102901400,102901700,0,0/180,0/180,1200,1000,0
2025121101,10028,102901700,102701700,270,90/270,0/180,1200,1000,0
2025121101,10002,102901700,102901400,180,0/180,0/180,1200,1000,0
2025121101,10637,103000900,102900900,270,90/270,,1200,1000,0
2025121101,10766,101407400,101507300,180,0/180,90/270,1200,1000,0
